Type	Checked?	Remedy	Position	Validation error	Text of example
T			2.3.1.27 example 1	Code is using curly quotes: continuing	"<w:pPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:pStyle w:val=""TestParagraphStyle"" /><w:ind w:left=""1440"" /></w:pPr>"
T			2.3.1.28 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.3.1.30 example 1	 cvc-complex-type.4: Attribute 'id' must appear on element 'w:rPrChange'. ::: 	" <w:p>  <w:pPr>    <w:rPr>      <w:b />      <w:imprint />      <w:lang w:val=""en-ca"" />      <w:rPrChange w:author=""user1"">        <w:rPr>          <w:i />          <w:dstrike w:val=""false"" />        </w:rPr>      </w:rPrChange>    </w:rPr>  </w:pPr></w:p> "
M			2.3.1.31 example 3	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""C3D69B"" /> "
M			2.3.1.31 example 6	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""943634"" w:themeFill=""accent2""  w:themeFillShade=""BF"" /> "
M			2.3.1.31 example 8	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""943634"" w:themeColor=""accent2""  w:themeShade=""BF"" /> "
M			2.3.1.31 example 9	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""95B3D7"" w:themeColor=""accent2""   w:themeTint=""99"" /> "
T			2.3.1.33 example 4	"Element type ""w:spacing"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:spacing"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:pPr>    <w:spacing .. w:afterAutospacing=""on"" />  </w:pPr> "
T			2.3.1.4 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.3.1.42 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.3.1.5 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.3.1.7 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.3.1.8 example 1	"The element type ""w:pPr"" must be terminated by the matching end-tag ""</w:pPr>"". Nested exception: The element type ""w:pPr"" must be terminated by the matching end-tag ""</w:pPr>""."	" <w:p>    <w:pPr>      <w:cnfStyle w:val=""101000000100"" />      ...    <//w:pPr>    ...  </w:p> "
E			2.3.2.17 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:kern'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":szCs, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":highlight, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":u, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":effect, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bdr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":shd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":fitText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":vertAlign, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rtl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":cs, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":em, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lang, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":eastAsianLayout, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":specVanish, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":oMath, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rPrChange}' is expected. ::: "	" <w:r>    <w:rPr>      <w:sz w:val=""22"" />      <w:kern w:val=""28"" />    </w:rPr>  </w:r> "
E			2.3.2.17 example 2	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:kern'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":szCs, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":highlight, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":u, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":effect, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bdr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":shd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":fitText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":vertAlign, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rtl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":cs, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":em, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lang, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":eastAsianLayout, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":specVanish, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":oMath, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rPrChange}' is expected. ::: "	" <w:r>    <w:rPr>      <w:sz w:val=""22"" />      <w:kern w:val=""22"" />    </w:rPr>  </w:r> "
T			2.3.2.24 example 3	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:ascii=""Courier New"" /></w:rPr>"
T			2.3.2.24 example 4	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:asciiTheme=""majorAscii"" /></w:rPr>"
T			2.3.2.24 example 5	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:cs=""Arial Unicode MS"" /></w:rPr>"
T			2.3.2.24 example 6	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:csTheme=""majorBidi"" /></w:rPr>"
T			2.3.2.24 example 7	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:eastAsia=""MS Mincho"" /></w:rPr>"
T			2.3.2.24 example 8	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:eastAsiaTheme=""minorEastAsia"" /></w:rPr>"
T			2.3.2.24 example 9	Code is using curly quotes: continuing	"<w:rPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:rFonts w:hAnsi=""Bauhaus 93"" /></w:rPr>"
